user_facing_name,analysis_id,status,source_r,a_yaml,u_yaml,r_yaml,suggested_report_location,interpretation_location,check_location,report_populated,guidance_populated,check_populated,dynamic_interpretation,duplicated_content,assumptions_interpreted,effect_size_interpreted,confidence_interval_interpreted,citations_present,references_resolve,numeric_reference_ids,guidance_hideable,hidden_leaves_empty,width_problem,standalone_addon_consistent,recommended_action,implementation_status
Automatic Factorial ANOVA,jrReportAnova,add-on,R/jrReportAnova.b.R,jamovi/jrReportAnova.a.yaml,jamovi/jrReportAnova.u.yaml,jamovi/jrReportAnova.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_anova_between_checklist_items,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Prioritise interaction and merge checks/diagnostics in guidance,audited
Automatic ANCOVA,jrReportAncova,add-on,R/jrReportAncova.b.R,jamovi/jrReportAncova.a.yaml,jamovi/jrReportAncova.u.yaml,jamovi/jrReportAncova.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use shared ANCOVA-specific structured guidance,audited
Automatic MANOVA / MANCOVA,jrReportMancova,add-on,R/jrReportMancova.b.R,jamovi/jrReportMancova.a.yaml,jamovi/jrReportMancova.u.yaml,jamovi/jrReportMancova.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use multivariate-first structured guidance and preserve follow-up table,audited
Automatic Linear Regression,jrReportLinReg,add-on,R/jrReportLinReg.b.R,jamovi/jrReportLinReg.a.yaml,jamovi/jrReportLinReg.u.yaml,jamovi/jrReportLinReg.r.yaml,R/jamovi-helpers.R:.jr_regression_report_cards_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jamovi-helpers.R:.jr_regression_checklist_items,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Move diagnostic and checklist cards into one collapsed regression guidance panel,audited
Automatic Binomial Logistic Regression,jrReportLogRegBin,add-on,R/jrReportLogRegBin.b.R,jamovi/jrReportLogRegBin.a.yaml,jamovi/jrReportLogRegBin.u.yaml,jamovi/jrReportLogRegBin.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use coding-aware odds-ratio guidance and diagnostics,audited
Automatic Multinomial Logistic Regression,jrReportLogRegMulti,add-on,R/jrReportLogRegMulti.b.R,jamovi/jrReportLogRegMulti.a.yaml,jamovi/jrReportLogRegMulti.u.yaml,jamovi/jrReportLogRegMulti.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use category-comparison guidance and convergence checks,audited
Automatic Correlation Matrix,jrReportCorrMatrix,add-on,R/jrReportCorrMatrix.b.R,jamovi/jrReportCorrMatrix.a.yaml,jamovi/jrReportCorrMatrix.u.yaml,jamovi/jrReportCorrMatrix.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,yes,yes,no,no,no,no,partial,Generate labelled guidance per unique correlation and integrate adjustment explanation,audited
Automatic Chi-Square Independence,jrReportContTables,add-on,R/jrReportContTables.b.R,jamovi/jrReportContTables.a.yaml,jamovi/jrReportContTables.u.yaml,jamovi/jrReportContTables.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,no,partial,yes,no,no,no,no,partial,Integrate residual/expected-count guidance and checks,audited
Automatic Chi-Square Goodness-of-Fit,jrReportPropTestN,add-on,R/jrReportPropTestN.b.R,jamovi/jrReportPropTestN.a.yaml,jamovi/jrReportPropTestN.u.yaml,jamovi/jrReportPropTestN.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,no,partial,yes,no,no,no,no,partial,Integrate expected-ratio and category residual guidance,audited
Automatic Repeated Measures ANOVA,jrReportAnovaRM,add-on,R/jrReportAnovaRM.b.R,jamovi/jrReportAnovaRM.a.yaml,jamovi/jrReportAnovaRM.u.yaml,jamovi/jrReportAnovaRM.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use repeated/mixed-specific correction and interaction guidance,audited
Automatic Reliability Report,jrReportReliability,add-on,R/jrReportReliability.b.R,jamovi/jrReportReliability.a.yaml,jamovi/jrReportReliability.u.yaml,jamovi/jrReportReliability.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,yes,yes,no,no,no,no,partial,Merge item/data checks and reliability cautions into one panel,audited
Bayesian t-test,edu_bayes_t_test,R-only,R/bayesian.R,,,,R/result.R:edu_report,R/result.R:report_blocks/plain,R/result.R:report_blocks/assumptions,yes,yes,partial,yes,partial,partial,not-classified,partial,no,yes,no,not-applicable,not-applicable,not-applicable,not-applicable,Add structured R-renderable guidance and avoid generic effect categories,audited
Mann-Whitney U test,edu_mann_whitney,R-only,R/nonparametric.R,,,,R/result.R:edu_report,R/result.R:report_blocks/plain,R/result.R:report_blocks/assumptions,yes,yes,partial,partial,partial,partial,partial,partial,no,yes,no,not-applicable,not-applicable,not-applicable,not-applicable,Add rank/distribution wording and condition-dependent median caution,audited
Wilcoxon signed-rank test,edu_wilcoxon_signed_rank,R-only-and-addon,R/nonparametric.R,,,,R/result.R:edu_report,R/result.R:report_blocks/plain,R/result.R:report_blocks/assumptions,yes,yes,partial,partial,partial,partial,partial,partial,no,yes,no,not-applicable,not-applicable,not-applicable,partial,Add paired-rank direction symmetry and tie guidance through shared renderer,audited
